Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Union,,Барбершопы; Обучение мастеров для салонов красоты,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,8,87773533355,,,,,,https://instagram.com/esbarbershop,,https://vk.com/esbarbershop,https://wa.me/77773533355,,,viber://chat/?number=77773533355,https://t.me/esbarbershop,,51.161762,71.401466,https://2gis.com/firm/70000001052611887
Malavita,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"проспект Улы Дала, 31",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+05:00,4.7,57,,,,,,,,,,https://wa.me/77771381920,,,,,,51.100386,71.399698,https://2gis.com/firm/70000001078907322
04,барбершоп,Барбершопы,"улица Кайым Мухамедханов, 20",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.2,13,,,,,,,,,,https://wa.me/77782905640,,,,,,51.14245,71.366327,https://2gis.com/firm/70000001080344235
Beauty stars,,Барбершопы,"проспект Улы Дала, 67",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87084254455,,,,http://zapis.kz/beauty-stars,,https://instagram.com/beauty_stars_ns,,,https://wa.me/77084254455,,,,,,51.093537,71.444043,https://2gis.com/firm/70000001104143154
Arman,барбершоп,Барбершопы,"Алиби Жангельдина улица, 42",27 бутик; 1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,49,87073074352,,,,,,https://instagram.com/kaliakparov.arman,,,https://wa.me/77073074352,,,,https://t.me/+77073074352,,51.175062,71.433046,https://2gis.com/firm/70000001053434645
barber_janyl,,Барбершопы,"проспект Женис, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-21:00; Вт: 13:00-21:00; Ср: 13:00-21:00; Чт: 13:00-21:00; Пт: 13:00-21:00 (по предварительной записи),+05:00,4.6,9,87024155549,,,,,,https://instagram.com/barber_janyl,,,https://wa.me/77024155549,,,,,,51.161312,71.414629,https://2gis.com/firm/70000001043765510
Барбершоп,,Барбершопы,"Алиби Жангельдина улица, 27/8а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,12,87078578008,87474718361,,,,,https://instagram.com/elegant_calon,,,https://wa.me/77474718361,,,,,,51.175257,71.429732,https://2gis.com/firm/70000001104513061
Барбершоп,,Барбершопы,"Алиби Жангельдина улица, 42",26 бутик; 1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,8,87023846763,,,,,,https://instagram.com/nur___barber,,,https://wa.me/77023846763,,,,,,51.17537,71.433452,https://2gis.com/firm/70000001023440903
Барбершоп,,Барбершопы,"Алиби Жангельдина улица, 21/8Б",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,15,87007305868,,,,,,,,,https://wa.me/77007305868,,,,,,51.175357,71.429698,https://2gis.com/firm/70000001104533865
Барбершоп,,Барбершопы,"улица Илияса Есенберлина, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:30-21:00; Вт: 09:30-21:00; Ср: 09:30-21:00; Чт: 09:30-21:00; Пт: 09:30-21:00; Сб: 09:30-21:00; Вс: 09:30-21:00,+05:00,4.3,23,87024131533,,,,,,https://instagram.com/begalinov777,,,https://wa.me/77053427527,,,,,,51.190993,71.408615,https://2gis.com/firm/70000001082659917
Nursbarber,барбершоп,Барбершопы,"Кабанбай батыр проспект, 7/1",внутри салона красоты Nail Expert,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Ср: 11:00-21:00; Чт: 10:00-21:00; Пт: 11:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,12,87025450205,,,,http://n129157.alteg.io,,https://instagram.com/nursbarber,,,https://wa.me/77025450205,,,,,https://youtube.com/nursbarber,51.14363,71.416479,https://2gis.com/firm/70000001102357247
Barbershop_sezar,,Барбершопы,"улица Сафуан Шаймерденов, 3 стр",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,6,87474283680,,,,,,https://instagram.com/sezar_barbershop,,,https://wa.me/77474283680,,,,,,51.112391,71.539978,https://2gis.com/firm/70000001103630919
Барбершоп,,Барбершопы,"переулок Кобда, 2/1",А9 бутик; 1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительной записи),+05:00,3.8,9,87773625582,,,,,,,,,https://wa.me/77773625582,,,,,,51.137933,71.531446,https://2gis.com/firm/70000001065410180
Craft,,Барбершопы,"улица Кайым Мухамедханов, 23",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.9,153,87753205929,,,,,,https://instagram.com/craft_astanaa,,,https://wa.me/77753205929,,,,,,51.142212,71.378683,https://2gis.com/firm/70000001083673766
Bros,барбершоп,Барбершопы,"улица Лесная поляна, 21",,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,94,87782979628,,,,,,https://instagram.com/bros_barbershop2025,,,https://wa.me/77782979628,,,,,,51.002421,71.369742,https://2gis.com/firm/70000001101056243
Family,барбершоп,Барбершопы,"улица Лесная поляна, 12",цокольный этаж; ВП: 11а,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,137,87000940101,,,,,,https://instagram.com/barbershop_family,,,https://wa.me/77000940101,,,,,,51.001287,71.370377,https://2gis.com/firm/70000001032380412
Aitmen,барбершоп,Барбершопы,"улица Республики, 156",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,416,87773933946,,,support@aitmen.kz,http://zapis.kz/salon/11793,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77773933946,,,,,,50.963226,71.350051,https://2gis.com/firm/70000001083426007
